Station Name,Stanox,Latitude,Longitude
London Fields Rail Station,52737,51.54115249,-0.057726231
London Liverpool Street Rail Station,52741,51.51799092,-0.081399726
Mitre Bridge Jn,72237,51.52652,-0.23569
Navarino Road Jn,52045,51.54734,-0.06323
New Cross Ell,88392,51.47684,-0.03287
New Cross Gate,87603,51.47585,-0.04083
New Cross Gate C.S.D,87584,51.47585,-0.04083
New Cross Gate North Jcn,87588,51.47585,-0.04083
New Cross Up Sussex Loop,87597,51.47585,-0.04083
North Pole Signal Vc818,72238,51.52089,-0.22847
North Pole Turnback Siding,72244,51.51945,-0.22676
North Wembley Rail Station,72010,51.56259616,-0.303961346
Norwood Junction Rail Station,87643,51.39701692,-0.075195755
Old Kent Road Junction,87596,51.47908,-0.05394
Peckham Rye,87609,51.47018,-0.06984
Penge West Rail Station,87645,51.41755276,-0.060813796
Queen'S Park (London),72311,51.534,-0.20562
Queen'S Park Junction,72309,51.53326,-0.20983
Queens Road Peckham Rail Station,88407,51.47356506,-0.057287751
Reading Lane Jn,52043,51.54525,-0.05884
Rectory Road Rail Station,51965,51.55850219,-0.068240632
Richmond,87132,51.46332,-0.30059
Romford,50401,51.57464,0.18237
Rotherhithe Rail Station,87566,51.50081592,-0.052022117
Seven Kings Rail Station,50417,51.56402551,0.097126802
Seven Sisters,51955,51.58342,-0.07507
Seven Sisters Signal L5511,51954,51.58068,-0.07507
Shadwell Rail Station,52088,51.51128356,-0.056907737
Shenfield Rail Station,50328,51.63087834,0.329878667
Shepherd'S Bush,72242,51.51197,-0.22058
Shoreditch High Street Rail Station,52082,51.52337511,-0.075219638
Silver Street Rail Station,51950,51.61468871,-0.06721496
South Acton,72253,51.49952,-0.27019
South Hampstead Rail Station,72314,51.54143259,-0.17885249
South Kenton Rail Station,72009,51.57021435,-0.308439855
South Tottenham,51558,51.58043,-0.07182
South Tottenham Sig S19,51559,51.58408,-0.06098
Southbury Rail Station,51944,51.64870583,-0.052410314
St James Street (London) Rail Station,52734,51.58098108,-0.032891718
Stamford Hill Rail Station,51961,51.57446767,-0.076656316
Stoke Newington Rail Station,51963,51.56523284,-0.072861382
Stonebridge Park Rail Station,72031,51.54411102,-0.275804927
Stratford Central Junction,52226,51.5423,-0.0033
Sydenham Rail Station,87626,51.42724565,-0.054217967
Theobalds Grove Rail Station,51940,51.69245777,-0.034805035
Tottenham Hale Rail Station,51931,51.58830991,-0.059903914
Turkey Street Rail Station,51942,51.67262893,-0.04719009
Upminster Rail Station,50392,51.55910809,0.250911561
Upper Holloway,63641,51.56333,-0.12989
Upper Holloway Up Gds Loop,63643,51.55987,-0.13495
Voltaire Road Jn.,87208,51.46726,-0.13522
Walthamstow Central,52733,51.58289,-0.01994
Walthamstow Queens Road Rail Station,51553,51.58150312,-0.023818754
Wandsworth Road,87207,51.47003,-0.13858
Wandsworth Road Sig Vs84,87275,51.46972,-0.13796
Wanstead Park Rail Station,51545,51.55169271,0.026240194
Wapping Rail Station,52090,51.50438751,-0.055904413
Watford High Street Rail Station,72002,51.6526582,-0.391687928
Watford Junction Rail Station,71040,51.66391121,-0.395901975
Wembley Central Rail Station,72021,51.55232519,-0.296409492
West Brompton,72243,51.48711,-0.19565
West Croydon Rail Station,87651,51.37842581,-0.102560169
West Croydon Turnback,87652,51.37894,-0.10199
West Hampstead Rail Station,72416,51.54746816,-0.191159392
White Hart Lane Rail Station,51951,51.60503726,-0.070888494
Willesden Jn Hl Turnback,72276,51.53203,-0.24342
Willesden Jn Ll Up Emu C-O,72281,51.53266,-0.23784
Willesden Jn Low Level,72277,51.5324,-0.24453
Willesden No7,72236,51.53575,-0.25831
Willesden Railnet Receptn,72233,51.53775,-0.26146
Willesden Signal Wm623,72028,51.52274,-0.25487
Willesden T.M.D,72271,51.53136,-0.24013
Willesden West Londn Jn,72268,51.53094,-0.2413
Wood Street Rail Station,52729,51.58658035,-0.002378308
Woodgrange Park Rail Station,51541,51.54926313,0.044450148
